id,dish_name,servings,description,created_at,modified_at,ingredients_digest,created_by_id,status
7,Poached Salmon with Greens,4,"A delicate and flavorful dish featuring poached salmon served on a bed of sautéed greens, perfect for a light and healthy meal.",2024-11-20 17:13:58.203954+02,2024-11-20 17:13:58.203964+02,4e231b811da19d79a936019b1c6e87cf79113bfad6f238c9385c5a98ef23d74c,1,draft
2,Classic Beef Lasagna,3,"A delicious and hearty beef lasagna that's perfect for a cozy meal. Made with layers of tender pasta, rich meat sauce, and a creamy ricotta-mozzarella-parmesan blend.",2024-11-20 17:13:57.986235+02,2024-11-20 17:13:57.986243+02,939ae27f8defd40a4a156f5b19ec3c70f7cc6c2f0e7fb0e0b75559aefb0f7bff,1,draft
13,Mushroom Risotto,4,"A creamy, savory risotto featuring earthy mushrooms, perfectly cooked arborio rice, and a touch of parmesan. Ideal for a comforting meal.",2024-11-20 18:41:37.636373+02,2024-11-20 18:41:37.63642+02,68da0c2073679edab7de6d4542f31da98461d5e85d0e1a2272b34fc40ca858a2,1,published
18,Cherry Nut Butter Energy Balls,8,"These cherry nut butter energy balls are perfect for a quick snack or pre-workout boost. They combine the tartness of dried cherries with the creamy and nutty flavor of almond butter, creating a delicious and nutritious snack.",2024-11-20 20:49:13.097567+02,2024-11-20 20:49:13.097622+02,0ba55e1e90fd662bba12a1b7b68dd4ed21d96523aa52755b18847d8878c34bff,1,draft
6,Simple Shoryu Ramen,4,"A straightforward and delicious version of Shoryu Ramen that's easy to prepare at home, perfect for ramen enthusiasts looking for a quick and tasty meal.",2024-11-20 17:13:58.161052+02,2024-11-20 17:13:58.16106+02,787660747510f7bad72d827bf82c71402646dda3dcee6ef926f15585e8e1aa16,1,draft
1,Slow-carb Pancakes,4,"These pancakes are a healthy, slow-carb breakfast option, packed with protein and fiber to keep you energized throughout the morning.",2024-11-20 17:13:57.950804+02,2024-11-20 17:13:57.950818+02,58dc67db1382cff7fd1bce80c97b6b9b4dd67310fda98adc951fcef0a2786a19,1,draft
16,Zoodles with Raw Alfredo Sauce,4,"A vegan and nourishing dish featuring zucchini noodles topped with a creamy and raw Alfredo sauce, perfect for a refreshing meal.",2024-11-20 20:08:05.738256+02,2024-11-20 20:08:05.738283+02,2ee22422c0330bd43eedee0df7c66224a4f8d64991bcec4b33f378ba9a71d1d9,1,published
5,Salade Niçoise,4,"A classic French salad featuring a colorful ensemble of fresh vegetables, tuna, hard-boiled eggs, and an olive oil vinaigrette.",2024-11-20 17:13:58.11333+02,2024-11-20 17:13:58.113338+02,f37b22e1e9d845ea1326a6df204661bbd2099ae914201d8548fa89afcefcc94c,1,draft
4,Darcy's Butter-free Butter Chicken,3,A healthier version of the classic butter chicken that maintains rich flavors using yogurt and spices instead of butter. This recipe offers a low-fat alternative ideal for those looking to enjoy this dish without the extra calories.,2024-11-20 17:13:58.071938+02,2024-11-20 17:13:58.071945+02,3c723ce98c3e0ed3a0ddb577c85ccee9835f1ba62ac9e47516099a3a9e7227ef,1,draft
9,Low-Calorie Brownies,6,"A healthier twist on classic brownies, these low-calorie brownies are rich in chocolate flavor while being mindful of caloric intake. Perfect for satisfying your sweet tooth without the guilt.",2024-11-20 17:13:58.263623+02,2024-11-20 17:13:58.263634+02,7722ec738b1b4a92b7637f935f78a77d4e66979f499b178b935a1138b976f3fa,1,draft
3,Zesty Prawn Ceviche,4,"A refreshing and zesty prawn ceviche, perfect for a light appetizer or a delightful snack, packed with citrus flavors and a hint of spice.",2024-11-20 17:13:58.02827+02,2024-11-20 17:13:58.028278+02,b49c66107259a1af02d41cc2880eded16a38f7843dffdb30605128c16006573a,1,draft
12,Rocket & Cashew Spread,4,"A creamy, flavorful spread made with fresh rocket, rich cashews, and aromatic herbs, perfect for serving with crackers as a delightful appetizer or snack.",2024-11-20 18:38:02.37055+02,2024-11-20 18:38:02.370573+02,eabe88fd392b11e97d3400dca773a9c368c04c2352ac09987f29be56495c09bc,1,published
8,Breakfast Burrito,2,"A hearty and satisfying breakfast wrap filled with scrambled eggs, crispy bacon, cheese, and creamy avocado, all wrapped in a warm tortilla.",2024-11-20 17:13:58.235075+02,2024-11-20 17:13:58.235083+02,d222757653f22b942688c291fda17d94f90531a0f5462af020035efa7799bb98,1,draft
10,Spatchcock Chicken with Roasted Root Vegetables,4,"A succulent spatchcock chicken roasted to perfection alongside a medley of flavorful root vegetables, making a hearty and delicious meal for any occasion.",2024-11-20 17:29:08.132854+02,2024-11-20 17:29:08.132933+02,d3f65b39c6237ba4a9ffc946122fec849ae216bb485c3aee571b2471810e9f55,1,draft
11,Grilled Tuna Steaks with Garlicky Lemon Butter Sauce,4,Savor the deliciously grilled tuna steaks paired with a flavorful garlicky lemon butter sauce. This low-carb recipe is quick to prepare and perfect for any seafood lover.,2024-11-20 17:32:47.348862+02,2024-11-20 17:32:47.348898+02,9aa9eef62be23fa7018f1d41c4db9eb34bfd0095316418965bf03a3d34cd8207,1,draft
21,Split Pea Soup,4,"A comforting and hearty soup made with split peas, vegetables, and smoky ham for a rich flavor, perfect for a cozy meal.",2024-11-20 21:52:33.037897+02,2024-11-20 21:52:33.037935+02,2c262c858855b1209dab3bb0468ebf554eb0d2c53cc083836a6c0bd32b139975,1,draft
15,Proper British Fish Cakes with Tartar Sauce,4,"Traditional British fish cakes made with flaky white fish, served with a homemade tartar sauce.",2024-11-20 19:58:18.086457+02,2024-11-20 19:58:18.08649+02,ae41d803a2a96950336ff7fc5a01eb82149b7981d203ca7e08aba60e80cb1d42,1,published
17,Autumn Soup,6,"A hearty and comforting soup that captures the flavors of fall, featuring root vegetables and warm spices.",2024-11-20 20:39:55.048273+02,2024-11-20 20:39:55.048301+02,96e2dac374154cf761660aa481c53e0a0eb22f1637895040e368fba4308eca4c,1,draft
14,Slow-Cooked Oxtail Stew,4,"A hearty and flavorful stew featuring tender, slow-cooked oxtail pieces, simmered with vegetables and aromatic herbs in a rich broth.",2024-11-20 18:44:09.556571+02,2024-11-20 18:44:09.556598+02,e960692dd219a226c40cd8259bf447c6d13bb9746a87c39f84357d5cf8021976,1,published
20,Penne with Creamy Gorgonzola,4,"A rich and flavorful pasta dish featuring penne in a creamy gorgonzola sauce, accented with fresh herbs.",2024-11-20 21:27:00.401429+02,2024-11-20 21:27:00.401474+02,0ebb1d83542e3108a6f1b5d9d539ff1dfa6a63c6b7deb275d5762e66418537ac,1,draft
19,Crispy Kale Chips,6,"These crispy kale chips are light, healthy, and flavorful, making them an addictive and nutritious snack that's perfect for any occasion.",2024-11-20 21:20:59.483346+02,2024-11-20 21:20:59.483375+02,38a0675c15b8a2213d689f3b5580c6103771d5435522f4de9666719007841cb6,1,draft
22,Classic Mac & Cheese,4,"A creamy and cheesy classic macaroni and cheese recipe, perfect for a comforting and delicious meal.",2024-11-20 21:57:54.158734+02,2024-11-20 21:57:54.158776+02,285c2790aaded848a0b8c840b8a09addd002ac6c3fb40ab2a48e854234647291,1,draft
23,Air Fryer Crispy Chilli Beef,4,"A flavorful and crispy beef dish with a spicy chili sauce, cooked to perfection using an air fryer.",2024-11-21 09:47:17.633485+02,2024-11-21 09:47:17.633532+02,09082c9e81cd144344a9d0926ad30b439a1e2baf4e9974fae4e7d92bfce4fd5d,1,draft
24,Low-Fat Coleslaw,4,"A crisp and refreshing low-fat coleslaw that's perfect for a healthy side dish or a light lunch. This recipe cuts down on fat without sacrificing flavor, combining fresh vegetables with a tangy dressing.",2024-11-21 10:09:06.587366+02,2024-11-21 10:09:06.587395+02,fc6b0e341074dfcdc2e0331219f1bb6e197a90ba2628bfcd74651530915e8531,1,draft
34,Panna Cotta with Raspberry Sauce,4,"A classic Italian dessert, panna cotta is a creamy, smooth custard. This version is paired with a vibrant and tangy raspberry sauce, offering a perfect balance of sweet and tart flavors.",2024-11-21 12:05:49.452882+02,2024-11-21 12:05:49.452924+02,d5e9bdf3f723360d32588a3f323b218be66330fccb87195c8dbd9f465e6e9007,1,draft
33,Classic French Bouillabaisse,4,"A traditional Provençal fish stew originating from the port city of Marseille, made with a variety of fish, shellfish, and a flavorful broth infused with saffron and herbs.",2024-11-21 11:41:18.188929+02,2024-11-21 11:41:18.188983+02,598c578acd035b5ad91196526b5a594d606db360beb9a1cbe30fb9f8bb6ae137,1,draft
26,Duck Breast with Potato Dauphinoise and Redcurrant-Dijon Sauce,4,"A sophisticated dish featuring succulent duck breast paired perfectly with creamy potato dauphinoise and a tangy redcurrant-Dijon sauce, ideal for a refined dinner gathering.",2024-11-21 10:30:41.175622+02,2024-11-21 10:30:41.175672+02,ce0d712a61a8a875899ca1346ae9216947281ec4eadcac49226f34db6f309ce8,1,draft
36,Pork Tenderloin with Honey Garlic Sauce,4,A savory-sweet pork dish featuring tender slices of pork tenderloin drizzled with a luscious honey garlic sauce. Perfect for a family dinner or special occasion.,2024-11-21 12:46:41.593208+02,2024-11-21 12:46:41.59323+02,99608146b3221da914284c74391665ee57e09d441c0eb4de7df9d9c69a64aa3f,1,draft
25,Egg & Bacon Breakfast Quesadillas,4,"A delicious and hearty breakfast quesadilla filled with crispy bacon, fluffy scrambled eggs, and melted cheese, all wrapped in a golden-brown tortilla.",2024-11-21 10:11:42.949658+02,2024-11-21 10:11:42.949691+02,aca03caa75b719015a78341664d2391c80c4b4b5d179cbdc34d5712d904c9599,1,draft
41,Traditional Moussaka,4,"A classic Greek dish featuring layers of eggplant, rich meat sauce, and creamy béchamel sauce, baked to golden perfection.",2024-11-21 18:43:09.7937+02,2024-11-21 18:43:09.793737+02,014e9ee59d55521ddc495a5377008b4150d8c7bc93d61a14ba30beb9613add89,1,draft
28,Pumpkin Flapjacks with Mascarpone and Berries,4,"Delicious pumpkin-flavored flapjacks perfect for a cozy morning, topped with creamy mascarpone and fresh berries.",2024-11-21 10:55:00.024757+02,2024-11-21 10:55:00.024776+02,de627e3232103a9ff731ed6908c7a01eb9565e3f2b4a3085397de8f6f638edda,1,draft
30,Homemade Fruity Granola,10,"A delicious, nutritious homemade granola packed with fruits and nuts, perfect for breakfast or a healthy snack.",2024-11-21 11:02:47.842256+02,2024-11-21 11:02:47.843092+02,e63ecbe3537aaa26ffc96d5a22b5b18ee5ff548e327fc7b4d3963a0eb21ed433,1,draft
38,Swedish Cardamom Buns,10,"A traditional Swedish delicacy, these cardamom-infused buns are soft, fluffy, and perfect with a cup of coffee. Their aromatic flavor comes from freshly ground cardamom seeds, sugar, and butter, providing a delightful treat for any occasion.",2024-11-21 16:36:41.192434+02,2024-11-21 16:36:41.192473+02,c3999c51db272b908128603514bb0f76fef45608cdc1ba6f8b15ade4204bad0f,1,draft
27,Classic Cheesecake,8,"A creamy and smooth classic cheesecake with a buttery graham cracker crust, perfect for any dessert occasion.",2024-11-21 10:44:40.407291+02,2024-11-21 10:44:40.407334+02,81117d74136edb2e257adbf241bf8f9bb5fbe66bc7ad75c9c8670d3411e34331,1,draft
32,Classic Swedish Beef Rydberg,4,"A traditional Swedish dish featuring tender beef, crispy potatoes, and onions, served with a rich mustard cream sauce.",2024-11-21 11:14:30.974721+02,2024-11-21 11:14:30.974745+02,9470672f92174cd910ab67ec6cf26fede28f28117b8fe645faa496e8a7a537c6,1,draft
29,Iced Ginger Matcha Latte,4,"A refreshing and energizing latte combining the earthy flavors of matcha with a hint of spicy ginger, served over ice and made with creamy almond milk.",2024-11-21 10:59:21.446868+02,2024-11-21 10:59:21.446905+02,922467a60e57ad3db5b81d73293f823a81c7ec2ebf5eb6d38af8b6755a5cdde1,1,draft
37,Peri Peri Prawns,4,"Spicy and flavorful Peri Peri prawns, marinated in a homemade sauce and then grilled to perfection. Perfect for a zesty appetizer or main course.",2024-11-21 15:38:03.042122+02,2024-11-21 15:38:03.04216+02,da87250bb4a3fb218ffbd6e18501651decde2bb053cf0747c089c133a1e8ada4,1,draft
31,Traditional Cacio e Pepe,4,Cacio e Pepe is a classic Italian pasta dish consisting of simple ingredients that create a rich and creamy flavor with a hint of peppery spice. This recipe ensures authenticity by focusing on technique and quality ingredients.,2024-11-21 11:11:24.60124+02,2024-11-21 11:11:24.601271+02,61a120d9846afd227442f5227ff40d723122a1238e3156f4bd1181c47fe9a7a3,1,draft
40,Chicken Jalfrezi,4,A delightful and spicy Indian dish that combines tender chicken with colorful bell peppers and a tangy tomato base.,2024-11-21 17:17:30.159214+02,2024-11-21 17:17:30.159237+02,7e4dffce98bed01a72090aad8db31cbf0bec5df60badee7d1908de0968d6c757,1,draft
39,Zesty Guacamole,6,"A flavorful and refreshing guacamole with a zesty twist, perfect for dipping or topping your favorite dishes.",2024-11-21 17:13:23.213874+02,2024-11-21 17:13:23.213928+02,1d4826a0ed4c33fa665a9e0f5ba6d5fa6f937806a5cce23a324a0e063637bc29,1,draft
35,Tabbouleh,4,"A fresh and vibrant Middle Eastern salad made with bulgur wheat, tomatoes, cucumber, parsley, and a light lemony dressing.",2024-11-21 12:36:03.575961+02,2024-11-21 12:36:03.576005+02,2df47539f8889e87c25d9c182b54ad54caab027c8d92dc4e2798c7bba192c1af,1,draft
42,Green Egg Sandwich,2,"A vibrant and delicious sandwich featuring perfectly cooked green eggs, creamy avocado, peppery rocket, and toasted sourdough bread.",2024-11-22 11:20:00.342577+02,2024-11-22 11:20:00.342615+02,d91801e26bad7529b7509cbd60069055780b6a1a183db45ff7670299d56d9a65,1,draft
