id,step,order,section_id
236,Transfer the macaroni and cheese mixture to a baking dish.,2,76
237,Sprinkle the top with breadcrumbs for a crispy topping.,3,76
238,Bake in the preheated oven for 20-25 minutes or until the top is golden brown and the sauce is bubbling.,4,76
239,"In a large bowl, combine sliced beef sirloin, cornstarch, salt, and black pepper. Toss until the beef is evenly coated.",1,77
240,Preheat the air fryer to 200°C (392°F).,2,77
241,Place the coated beef in the air fryer basket in a single layer.,1,78
242,Lightly spray the beef with vegetable oil to ensure crispiness.,2,78
243,"Air fry the beef at 200°C (392°F) for 12-15 minutes, turning halfway through, until beef is crisp and golden brown.",3,78
244,"In a small saucepan, heat 2 tablespoons of vegetable oil over medium heat.",1,79
245,"Add minced garlic and sliced red chilies, and sauté for 2-3 minutes until fragrant.",2,79
246,"Stir in soy sauce, rice vinegar, and brown sugar. Cook for another 2-3 minutes until the sauce thickens slightly.",3,79
247,Transfer the crispy beef from the air fryer to a large mixing bowl.,1,80
248,"Pour the chilli sauce over the fried beef, tossing until well combined.",2,80
249,Garnish with sliced spring onions and toasted sesame seeds before serving.,3,80
250,Shred the cabbage and place it in a large mixing bowl.,1,81
251,Grate the carrots using a box grater and add them to the bowl.,2,81
252,"Chop the green onions into thin slices and dice the red bell pepper, then add both to the bowl with the cabbage and carrots.",3,81
253,"In a small bowl, combine the low-fat plain yogurt, light mayonnaise, apple cider vinegar, honey, and Dijon mustard. Whisk until smooth.",1,82
254,Pour the dressing over the shredded vegetables.,1,83
255,Season with salt and black pepper to taste.,2,83
256,Toss everything together until the vegetables are well coated with the dressing.,3,83
257,Cover the bowl with plastic wrap and refrigerate for at least 30 minutes to allow the flavors to meld.,4,83
258,Serve chilled as a side dish or as a topping for sandwiches.,5,83
259,Chop the chives finely and set aside.,1,84
260,Shred the cheddar cheese if not pre-shredded.,2,84
261,"In a large skillet, cook the bacon strips over medium heat until crispy, about 6-8 minutes.",1,85
262,"Remove bacon from the skillet and place on a paper towel-lined plate to drain excess grease. Once cooled, crumble the bacon into smaller pieces.",2,85
263,"In a bowl, whisk together eggs, milk, salt, and black pepper until well combined.",1,86
264,"In the same skillet used for the bacon, melt the butter over medium heat.",2,86
265,"Pour in the egg mixture and cook, gently stirring, until the eggs are softly scrambled and slightly undercooked. Remove from heat and set aside.",3,86
266,"Lay the tortillas flat and evenly distribute cheese, scrambled eggs, bacon, and chives over one half of each tortilla.",1,87
267,Fold the tortillas in half to enclose the filling.,2,87
268,"Heat a clean skillet over medium heat and cook each quesadilla for about 2-3 minutes on each side, or until the tortilla is golden brown and the cheese is melted.",3,87
269,Preheat the oven to 190°C (375°F).,1,88
270,"In a saucepan, melt the butter over medium heat, then add minced garlic and sauté until fragrant.",2,88
271,"Stir in the heavy cream and whole milk, and bring to a gentle simmer.",3,88
272,"Layer the thinly sliced potatoes in a greased baking dish, and season each layer with salt and pepper.",4,88
273,Pour the simmered cream mixture over the potatoes and top with grated Gruyère cheese.,5,88
274,"Bake in the preheated oven for 45-50 minutes, or until the top is golden and the potatoes are tender.",6,88
275,"While the potatoes are baking, score the skin of the duck breasts in a crisscross pattern.",1,89
276,Season the duck breasts with salt and freshly ground black pepper.,2,89
277,"Place duck breasts skin-side down in a cold frying pan, then place over medium heat.",3,89
278,"Cook the duck until the skin is crispy and golden, about 6-8 minutes. Flip and cook for another 4-5 minutes or until desired doneness.",4,89
279,Remove the duck breasts from the pan and let rest for at least 5 minutes before slicing.,5,89
280,"In the same frying pan, add olive oil and sauté the finely chopped shallots until soft.",1,90
281,"Stir in redcurrant jelly and Dijon mustard, mixing until smooth.",2,90
282,"Pour in the chicken stock and bring the mixture to a simmer, allowing the sauce to thicken slightly.",3,90
283,Adjust seasoning with salt and pepper as needed. Strain the sauce if desired for a smoother consistency.,4,90
284,Slice the duck breasts and arrange them on a plate alongside a portion of potato dauphinoise.,1,91
285,Drizzle the redcurrant-Dijon sauce over the duck and serve immediately.,2,91
286,Preheat the oven to 180°C (350°F).,1,92
287,"In a bowl, combine the crushed graham crackers and melted butter until evenly moistened.",2,92
288,Press the mixture firmly into the bottom of a 23cm (9-inch) springform pan to form the crust.,3,92
289,Bake the crust in the preheated oven for 10 minutes to set. Remove and let it cool while preparing the filling.,4,92
290,"In a large mixing bowl, beat the softened cream cheese with an electric mixer until smooth and creamy.",1,93
291,"Gradually add the granulated sugar, beating until fully incorporated.",2,93
292,"Mix in the vanilla extract, followed by the eggs, adding them one at a time and mixing well after each addition.",3,93
293,"Add the heavy cream, flour, and salt to the mixture, and beat just until combined and smooth.",4,93
294,Pour the cheesecake filling over the cooled crust in the springform pan.,1,94
295,Smooth the top with a spatula or the back of a spoon to ensure even baking.,2,94
296,"Place the filled pan on a baking sheet and bake in the preheated oven for about 50-60 minutes, until the edges are set but the center slightly jiggles.",3,94
297,Turn off the oven and leave the cheesecake inside with the oven door slightly ajar for about 1 hour to cool slowly and prevent cracking.,1,95
298,Transfer the cheesecake to a refrigerator and chill for at least 4 hours or overnight before serving.,2,95
299,"Remove the cheesecake from the springform pan, slice, and enjoy your Classic Cheesecake.",3,95
300,"In a large bowl, whisk together the all-purpose flour, baking powder, ground cinnamon, ground nutmeg, and salt.",1,96
301,"In another bowl, mix the pumpkin puree, granulated sugar, eggs, milk, and vanilla extract until well combined.",2,96
302,Add the wet ingredients to the dry ingredients and stir until just combined. Do not overmix.,3,96
303,Fold in the melted butter until incorporated.,4,96
304,Heat a non-stick frying pan or griddle over medium heat. Lightly grease with butter if needed.,1,97
305,Pour about 60 milliliters (approximately 1/4 cup) of batter onto the pan for each flapjack.,2,97
306,"Cook until bubbles start to form on the surface and the edges look set, about 2-3 minutes. Flip and cook for another 2 minutes until golden brown.",3,97
307,Transfer the cooked flapjacks to a warm plate and keep covered. Repeat with the remaining batter.,4,97
308,Place a stack of flapjacks on each serving plate.,1,98
309,Top each stack with a dollop of mascarpone cheese.,2,98
310,Scatter the mixed fresh berries over the top.,3,98
311,Drizzle with maple syrup if desired.,4,98
312,Serve immediately and enjoy your pumpkin flapjacks with mascarpone and berries.,5,98
313,"In a small bowl, combine the matcha powder and grated ginger.",1,99
314,Add a small amount of almond milk (about 50 ml) to the matcha-ginger mix and whisk until smooth to form a paste.,2,99
315,"In a medium saucepan, heat the remaining almond milk over medium heat until just warm, not boiling.",1,100
316,Stir in the honey and vanilla extract until dissolved.,2,100
317,Pour the warm almond milk mixture into the bowl containing the matcha paste and whisk until well combined.,1,101
318,Fill four glasses with ice cubes.,2,101
319,Pour the iced ginger matcha latte mix over the ice in each glass evenly.,3,101
320,Preheat your oven to 160°C (320°F) and line a large baking tray with parchment paper.,1,102
321,"In a large mixing bowl, combine the rolled oats, chopped almonds, chopped walnuts, and sunflower seeds.",2,102
322,"Stir in the ground cinnamon and salt, ensuring an even coat across the dry ingredients.",3,102
323,"In a separate bowl, whisk together the honey, melted coconut oil, and vanilla extract until well blended.",1,103
324,Pour the wet mixture over the dry ingredients and toss until the oats and nuts are thoroughly coated.,1,104
325,Spread the mixture evenly onto the prepared baking tray.,2,104
326,"Bake in the preheated oven for 25-30 minutes, stirring halfway through to ensure even baking, or until the granola is golden brown.",3,104
327,Remove the tray from the oven and let the granola cool completely on the baking tray to allow it to crisp up.,1,105
328,"Once cooled, fold in the diced dried apricots and dried cranberries.",2,105
329,Store the granola in an airtight container for up to two weeks.,3,105
330,"Fill a large pot with water, add a generous amount of salt, and bring to a boil.",1,106
331,"Add the spaghetti and cook until it is just shy of al dente, about 1 minute less than the package instructions.",2,106
332,Reserve 1 cup of pasta water and then drain the spaghetti.,3,106
333,"While the pasta is cooking, in a large skillet, heat the freshly ground black pepper over medium heat for about 1 minute to release its fragrant oils.",1,107
334,Add about 2 ladles of the reserved pasta water to the skillet and bring to a simmer.,2,107
335,Transfer the cooked spaghetti into the skillet with the simmering pepper-water mixture.,1,108
336,Add half of the grated Pecorino Romano cheese and begin tossing the pasta quickly using tongs or a pasta fork to combine the cheese with the pasta.,2,108
337,"Gradually add more cheese and some reserved pasta water as needed to create a creamy sauce that clings to the pasta, continuing to toss until well combined. Adjust the consistency with more pasta water if necessary, ensuring the sauce is smooth and glossy.",3,108
338,Taste and adjust seasoning with salt and more black pepper if desired.,1,109
339,"Divide the pasta among four bowls, making sure each portion is well-coated with sauce.",2,109
340,"Serve immediately while hot, topped with additional grated Pecorino Romano cheese if desired.",3,109
341,Cut the beef tenderloin into small cubes and set aside.,1,110
342,Peel the potatoes and dice them into small cubes of similar size to the beef.,2,110
343,Finely chop the large yellow onion.,3,110
344,Heat 2 tablespoons of butter and 1 tablespoon of vegetable oil in a large skillet over medium heat.,1,111
345,"Add the diced potatoes and cook, stirring occasionally, for about 15-20 minutes or until they are golden and crispy. Season with salt and pepper to taste. Remove from the skillet and set aside.",2,111
346,"In the same skillet, add 1 tablespoon of butter and sauté the chopped onion until soft and translucent, about 5 minutes. Remove from the skillet and set aside.",3,111
347,Add the remaining butter and a tablespoon of vegetable oil to the skillet. Increase the heat to medium-high and add the diced beef.,4,111
348,"Cook the beef until browned on the outside but still pink inside, about 3-4 minutes. Season with salt and pepper to taste. Be careful not to overcook the beef.",5,111
349,"In a small pan, stir together the Dijon mustard and heavy cream over low heat until combined and warm. Do not boil.",1,112
350,"Arrange the crispy potatoes, sautéed onions, and cooked beef on a serving platter.",2,112
351,Drizzle the mustard cream sauce over the beef and garnish with chopped fresh parsley and capers. Serve immediately.,3,112
352,"In a large, heavy pot, heat olive oil over medium heat.",1,113
353,"Add the finely chopped onion, sliced leek, and thinly sliced fennel bulb to the pot. Sauté until soft and translucent, about 5-7 minutes.",2,113
354,"Stir in the minced garlic, chopped tomatoes, fresh thyme leaves, bay leaf, and saffron threads. Cook for another 3 minutes until fragrant.",3,113
355,"Pour in the fish stock and dry white wine, then add the grated orange zest. Bring the mixture to a simmer.",1,114
356,Season with salt and freshly ground black pepper to taste. Allow the broth to simmer gently for about 20 minutes to develop flavors.,2,114
357,"Add the red mullet, monkfish, and sea bass to the simmering broth. Cook for 5 minutes until the fish begins to flake.",1,115
358,Add the mussels to the pot and cover with a lid. Cook for an additional 5 minutes until the mussels have opened.,2,115
359,Discard any unopened mussels and the bay leaf.,1,116
360,"Ladle the bouillabaisse into warm bowls, garnishing each serving with freshly chopped parsley.",2,116
361,"Serve with toasted baguette slices on the side, if desired.",3,116
362,Soak the gelatin sheets in a bowl of cold water for 5 minutes to soften.,1,117
363,"In a saucepan over medium heat, combine the heavy cream and 100 g of granulated sugar. Stir occasionally until the sugar is dissolved and the mixture is warm, but not boiling.",2,117
364,Remove the saucepan from the heat. Squeeze the excess water from the gelatin sheets and add them to the warm cream mixture along with the vanilla extract. Stir until completely dissolved.,3,117
365,Pour the mixture into four ramekins or serving glasses. Let them cool at room temperature for 20 minutes.,4,117
366,"Cover the ramekins with plastic wrap and refrigerate for at least 4 hours, or until set.",5,117
367,"In a small saucepan over medium heat, combine the raspberries, 50 g of granulated sugar, lemon juice, and water.",1,118
368,"Cook the mixture for about 5-7 minutes, stirring occasionally, until the raspberries break down and the sauce thickens.",2,118
369,"Remove from heat and strain the sauce through a fine mesh sieve to remove seeds, if desired. Let the sauce cool before serving.",3,118
370,"Once the panna cotta is set, carefully run a knife around the edge of each ramekin to loosen the custard.",1,119
371,Invert the ramekins onto serving plates; gently shake to release the panna cotta.,2,119
372,Drizzle the cooled raspberry sauce generously over each panna cotta and serve immediately.,3,119
373,Place the bulgur wheat in a large bowl.,1,120
374,"Pour the boiling water over the bulgur wheat, cover, and let it sit for 20 minutes to absorb the water and soften.",2,120
375,"After 20 minutes, fluff the bulgur with a fork and set aside to cool.",3,120
376,"While the bulgur is absorbing the water, prepare the vegetables: dice the tomatoes and cucumber, and finely chop the parsley and mint.",1,121
377,"Combine the diced tomatoes, cucumber, chopped parsley, and mint in a large mixing bowl.",2,121
378,Add the cooled bulgur wheat to the vegetable mixture.,1,122
379,Add the finely sliced green onions to the bowl.,2,122
380,"In a small bowl, whisk together the lemon juice, olive oil, salt, and black pepper.",3,122
381,Pour the dressing over the tabbouleh mixture and toss everything together until well combined.,4,122
382,Taste and adjust the seasoning with additional salt or pepper if needed.,5,122
383,Transfer the tabbouleh to a serving dish.,1,123
384,Serve immediately or refrigerate for up to an hour to allow the flavors to blend more thoroughly.,2,123
385,Preheat your oven to 200°C (400°F).,1,124
386,Pat the pork tenderloin dry with paper towels. Season both sides with salt and ground black pepper.,2,124
387,Heat olive oil in a large oven-safe skillet over medium-high heat.,3,124
388,"Sear the pork tenderloin on all sides until browned, about 3-4 minutes per side. Remove from heat.",4,124
389,"In the same skillet, add the minced garlic and cook for about 30 seconds until fragrant.",1,125
390,"Add the honey, soy sauce, and apple cider vinegar to the skillet. Stir to combine.",2,125
391,"In a small bowl, mix the cornstarch with water to create a slurry, then add it to the skillet. Cook the sauce, stirring continuously, until it thickens slightly, about 1 minute.",3,125
392,"Return the pork tenderloin to the skillet, spooning some of the sauce over the pork.",1,126
393,"Transfer the skillet to the preheated oven and roast for 15-20 minutes, or until the internal temperature of the pork reaches 63°C (145°F).",2,126
394,"Once cooked, remove the pork from the oven and let it rest for 5 minutes before slicing.",3,126
395,Slice the pork into medallions and drizzle with the remaining honey garlic sauce.,4,126
396,Garnish with chopped fresh parsley before serving.,5,126
397,"In a food processor, combine olive oil, lemon juice, minced garlic, chopped red chili, paprika, cayenne pepper, salt, and black pepper.",1,127
398,Blend the ingredients until you have a smooth paste.,2,127
399,Place the prawns in a large bowl.,1,128
400,Pour the prepared Peri Peri sauce over the prawns and toss to coat evenly.,2,128
401,Cover the bowl and refrigerate for at least 30 minutes to allow the prawns to marinate.,3,128
402,Heat a grill pan or skillet over medium-high heat.,1,129
403,"Add the marinated prawns in a single layer, ensuring they do not overlap.",2,129
404,Cook for 2-3 minutes on each side until prawns turn pink and opaque.,3,129
405,"In a small bowl, mix chopped parsley, diced red bell pepper, and finely chopped white onion.",1,130
406,Remove the prawns from the heat and garnish with the prepared parsley mixture.,2,130
407,"Serve immediately, with extra lemon wedges if desired.",3,130
408,"In a small saucepan, heat the milk until lukewarm. Remove from heat and add the yeast, stirring until dissolved. Set aside for 5 minutes to activate.",1,131
409,"In a large mixing bowl, combine flour, sugar, salt, and ground cardamom seeds. Add the softened butter and mix until the texture resembles breadcrumbs.",2,131
410,"Pour the yeast mixture into the dry ingredients, followed by the beaten egg. Mix and knead the dough by hand or using a mixer with a dough hook for about 10 minutes until smooth and elastic.",3,131
411,"Cover the bowl with plastic wrap or a clean towel and let the dough rise in a warm place for about 1 hour, or until it has doubled in size.",4,131
412,"In a separate bowl, prepare the filling by combining sugar, softened butter, and ground cardamom seeds. Mix until smooth.",1,132
413,Punch down the risen dough and turn it out onto a lightly floured surface. Roll it into a rectangle approximately 30 cm x 50 cm.,2,132
414,Spread the cardamom filling evenly over the entire surface of the dough rectangle.,3,132
415,"Fold one-third of the dough over towards the center, and then fold the opposite third over that to create a letter fold.",4,132
416,"Using a sharp knife or pizza cutter, slice the folded dough into 10 even strips.",5,132
417,"Take each strip and twist them, then tie them into a knot. Place each knot onto a baking sheet lined with parchment paper.",6,132
418,Preheat the oven to 200°C (392°F).,1,133
419,Cover the baking sheet with a clean towel and let the buns rise for about 30 minutes.,2,133
420,Brush each bun with the beaten egg for a glossy finish.,3,133
421,"Bake in the preheated oven for 10-12 minutes, or until golden brown.",4,133
422,Remove from the oven and let cool on a wire rack. Serve warm or at room temperature.,5,133
423,"Cut the avocados in half, remove the pits, and scoop the flesh into a large mixing bowl.",1,134
424,Mash the avocado with a fork or potato masher until you reach your desired consistency.,2,134
425,"Add the red onion, tomato, cilantro, lime juice, jalapeño, and garlic to the mashed avocado.",1,135
426,"Sprinkle with salt and pepper, then stir everything together until well combined.",2,135
427,"Taste the guacamole and adjust seasoning if necessary, adding more salt, pepper, or lime juice to your preference.",1,136
428,"Cover the bowl with plastic wrap, pressing it directly onto the surface of the guacamole to prevent browning.",2,136
429,Refrigerate for at least 30 minutes to allow the flavors to meld.,3,136
430,"Serve chilled alongside tortilla chips, use as a topping for tacos, or enjoy as a spread on sandwiches.",1,137
431,Cut the chicken breasts into bite-sized pieces.,1,138
432,Slice the onion and bell peppers into thin strips.,2,138
433,Mince the garlic and ginger if not already prepared.,3,138
434,Heat the vegetable oil in a large pan over medium heat.,1,139
435,"Add the sliced onions and sauté until they become translucent, about 5 minutes.",2,139
436,"Add the minced garlic and ginger, cooking for an additional 2 minutes.",3,139
437,"Stir in the chicken pieces, cooking until they are lightly browned on all sides.",4,139
438,Add the sliced bell peppers and chopped tomatoes to the pan.,5,139
439,"Mix in the tomato puree, garam masala, ground cumin, ground coriander, turmeric powder, and red chili powder.",6,139
440,Season with salt to taste.,7,139
441,"Reduce the heat to low and cover the pan. Let the mixture simmer for 15-20 minutes, stirring occasionally, until the chicken is cooked through and the bell peppers are tender.",8,139
442,"Once cooked, garnish the Chicken Jalfrezi with freshly chopped coriander leaves.",1,140
443,Serve hot with basmati rice or naan bread.,2,140
444,Sprinkle sliced eggplants with salt and let them sit for 30 minutes to draw out moisture.,1,141
445,Rinse the eggplants and pat them dry with paper towels.,2,141
446,Heat 2 tablespoons of olive oil in a pan over medium heat and fry the eggplant slices until golden on both sides. Set aside on paper towels to drain.,3,141
447,"In the same pan, add 2 tablespoons of olive oil and sauté the chopped onion until soft.",1,142
448,Add minced garlic and cook for an additional 1 minute.,2,142
449,Add the ground lamb and cook until browned.,3,142
450,"Stir in the tomato paste, red wine, crushed tomatoes, cinnamon, allspice, salt, and black pepper.",4,142
451,Reduce the heat and let simmer for 20 minutes until the sauce thickens. Set aside.,5,142
452,Melt butter in a saucepan over medium heat.,1,143
453,"Whisk in flour and cook for 1-2 minutes, stirring continuously.",2,143
454,Slowly add milk while whisking to prevent lumps. Continue cooking until the sauce thickens.,3,143
455,"Remove the saucepan from heat and stir in beaten egg yolks, nutmeg, and half of the grated Parmesan cheese. Adjust seasoning with salt to taste.",4,143
456,Preheat oven to 180°C (350°F).,1,144
457,Layer half of the eggplant slices in the bottom of an oiled baking dish.,2,144
458,"Spread the meat sauce over the eggplants, then add the remaining eggplant slices on top of the sauce.",3,144
459,Pour the béchamel sauce evenly over the layers and sprinkle with the rest of the Parmesan cheese.,4,144
460,Bake in the preheated oven for 40 minutes or until the top is golden brown.,5,144
461,Allow to cool for 10 minutes before serving.,6,144
462,Wash the spinach and rocket thoroughly under running water to remove any dirt or debris. Pat them dry with a kitchen towel or paper towels.,1,145
463,"In a blender, add the spinach and milk. Blend until smooth to create a spinach puree.",2,145
464,Mash the avocado in a small bowl and mix with lemon juice to prevent it from browning. Season with a pinch of salt and black pepper.,3,145
465,"In a medium bowl, whisk together the eggs and spinach puree until fully combined. Season with salt and black pepper.",1,146
466,"Heat a non-stick frying pan over medium heat and add the butter. Once the butter is melted and slightly foamy, pour in the egg mixture.",2,146
467,"Gently stir the eggs with a spatula, scraping from the edges to the center, until the eggs begin to set but are still slightly runny. Remove from heat, as the eggs will continue to cook with residual heat.",3,146
468,Toast the sourdough slices in a toaster or under a grill until golden and crispy.,1,147
469,Spread an even layer of mashed avocado onto each slice of toasted sourdough.,2,147
470,Place an equal amount of scrambled green eggs onto the avocado-topped slices of bread.,3,147
471,Top the eggs with a handful of fresh rocket leaves.,4,147
472,"Drizzle a small amount of olive oil over the rocket, and season with salt and pepper to taste.",5,147
473,Place the remaining slices of sourdough on top of each sandwich to close.,6,147
474,Serve immediately and enjoy your vibrant Green Egg Sandwich!,7,147
